Rank,Cards,win_pct,tie_pct
1,AA,0.310,0.005
2,KK,0.260,0.006
3,QQ,0.220,0.008
4,AKs,0.202,0.019
5,JJ,0.191,0.009
6,AQs,0.187,0.022
7,KQs,0.181,0.021
8,AJs,0.175,0.025
9,KJs,0.171,0.024
10,TT,0.168,0.011
11,AKo,0.167,0.020
12,ATs,0.166,0.027
13,QJs,0.166,0.024
14,KTs,0.161,0.026
15,QTs,0.158,0.026
16,JTs,0.158,0.028
17,99,0.153,0.009
18,AQo,0.149,0.023
19,A9s,0.146,0.027
20,KQo,0.144,0.022
21,88,0.142,0.009
22,K9s,0.142,0.025
23,T9s,0.141,0.027
24,A8s,0.139,0.029
25,Q9s,0.138,0.024
26,J9s,0.138,0.025
27,AJo,0.135,0.026
28,A5s,0.134,0.033
29,77,0.134,0.009
30,A7s,0.134,0.030
31,KJo,0.132,0.025
32,A4s,0.132,0.031
33,A3s,0.131,0.029
34,A6s,0.130,0.031
35,QJo,0.129,0.025
36,66,0.128,0.009
37,K8s,0.128,0.026
38,T8s,0.127,0.027
39,A2s,0.127,0.026
40,98s,0.126,0.024
41,J8s,0.125,0.025
42,ATo,0.124,0.028
43,Q8s,0.124,0.025
44,K7s,0.122,0.027
45,KTo,0.122,0.028
46,55,0.122,0.009
47,JTo,0.121,0.028
48,87s,0.120,0.023
49,QTo,0.120,0.028
50,44,0.119,0.007
51,22,0.119,0.003
52,33,0.119,0.005
53,K6s,0.118,0.028
54,97s,0.117,0.024
55,K5s,0.116,0.029
56,76s,0.115,0.023
57,T7s,0.115,0.027
58,K4s,0.114,0.027
59,K2s,0.113,0.023
60,K3s,0.113,0.025
61,Q7s,0.112,0.026
62,86s,0.112,0.023
63,65s,0.111,0.022
64,J7s,0.111,0.026
65,54s,0.109,0.022
66,Q6s,0.109,0.027
67,75s,0.107,0.023
68,96s,0.107,0.024
69,Q5s,0.106,0.028
70,64s,0.104,0.020
71,Q4s,0.104,0.025
72,Q3s,0.104,0.024
73,T9o,0.104,0.028
74,T6s,0.103,0.027
75,Q2s,0.103,0.021
76,A9o,0.102,0.028
77,53s,0.102,0.020
78,85s,0.101,0.023
79,J6s,0.101,0.027
80,J9o,0.100,0.026
81,K9o,0.099,0.026
82,J5s,0.099,0.028
83,Q9o,0.098,0.026
84,43s,0.098,0.018
85,74s,0.097,0.021
86,J4s,0.097,0.026
87,J3s,0.096,0.024
88,95s,0.096,0.024
89,J2s,0.095,0.022
90,63s,0.095,0.018
91,A8o,0.094,0.030
92,52s,0.093,0.018
93,T5s,0.092,0.029
94,84s,0.091,0.021
95,T4s,0.091,0.027
96,T3s,0.091,0.024
97,42s,0.090,0.016
98,T2s,0.090,0.022
99,98o,0.090,0.024
100,T8o,0.089,0.028
101,A5o,0.089,0.034
102,A7o,0.088,0.032
103,73s,0.088,0.019
104,A4o,0.087,0.032
105,32s,0.087,0.013
106,94s,0.087,0.023
107,93s,0.085,0.021
108,J8o,0.085,0.027
109,A3o,0.085,0.030
110,62s,0.085,0.016
111,92s,0.085,0.019
112,K8o,0.085,0.028
113,A6o,0.084,0.032
114,87o,0.084,0.024
115,Q8o,0.083,0.027
116,83s,0.082,0.020
117,A2o,0.082,0.027
118,82s,0.081,0.018
119,97o,0.080,0.025
120,72s,0.079,0.018
121,76o,0.079,0.024
122,K7o,0.079,0.029
123,65o,0.076,0.024
124,T7o,0.075,0.028
125,K6o,0.075,0.030
126,86o,0.074,0.024
127,54o,0.074,0.023
128,K5o,0.071,0.030
129,J7o,0.071,0.028
130,75o,0.070,0.024
131,Q7o,0.070,0.028
132,K4o,0.070,0.028
133,K3o,0.069,0.026
134,96o,0.068,0.025
135,K2o,0.068,0.024
136,64o,0.068,0.021
137,Q6o,0.066,0.029
138,53o,0.066,0.021
139,85o,0.063,0.025
140,T6o,0.063,0.029
141,Q5o,0.063,0.029
142,43o,0.062,0.018
143,Q4o,0.061,0.027
144,Q3o,0.061,0.025
145,74o,0.060,0.022
146,Q2o,0.060,0.023
147,J6o,0.059,0.029
148,63o,0.057,0.019
149,J5o,0.056,0.029
150,95o,0.056,0.026
151,52o,0.056,0.019
152,J4o,0.055,0.027
153,J3o,0.054,0.025
154,42o,0.054,0.016
155,J2o,0.053,0.023
156,84o,0.053,0.023
157,T5o,0.052,0.030
158,T4o,0.050,0.028
159,32o,0.050,0.014
160,T3o,0.050,0.026
161,73o,0.049,0.020
162,T2o,0.049,0.023
163,62o,0.047,0.017
164,94o,0.047,0.024
165,93o,0.045,0.022
166,92o,0.045,0.020
167,83o,0.043,0.021
168,82o,0.042,0.019
169,72o,0.040,0.019
